"Data Set 1:Time(s)","Data Set 1:Absorbance"
0,-0.00049823296803814068
1,0.00085053362750562298
2,-0.00013858596250229855
3,-0.0005703014014686018
4,-0.00045212533206141124
5,-0.0007018152570897958
6,-0.0013597701702402708
7,0.0022113019163423936
8,0.0073951279266996741
9,0.0060685919901325063
10,0.00136174988066462
11,-0.0010662050400627621
12,-0.0011086573762870402
13,-0.001226261306956733
14,-0.001489387900161739
15,-0.0017256739266858407
16,-0.0013881767870136249
17,-0.0015163477041280811
18,-0.0013669655265817462
19,-0.00089840220077011719
20,-0.0012421562916191675
21,-0.0012421562916191675
22,-0.00092209920570936654
23,-0.0015695258534813719
24,-0.00039185939882047848
25,0.0033668640180672654
26,0.0012299142392939129
27,0.00047509617306428588
28,0.0084012057485888907
29,0.025258136273938966
30,0.046783034575414474
31,0.068349873005009609
32,0.073676379812938078
33,0.079711706161871496
34,0.083967250287124484
35,0.086912183626791678
36,0.087798891055894501
37,0.088640215781023227
38,0.090028676201322697
39,0.089658700196605282
40,0.090103014318954677
41,0.089360063468284956
42,0.09071780166888882
43,0.090303776932459792
44,0.0904456018291242
45,0.09093888050200033
46,0.091018887804228829
47,0.092149248152215008
48,0.09124330077475358
49,0.09996704389654304
50,0.095050946773858419
51,0.095126574961306457
52,0.095126574961306457
53,0.093026436311978974
54,0.088983082065601474
55,0.089188133054174126
56,0.088983577132429353
57,0.087967369988824304
58,0.088307841584604849
59,0.087866683038858626
60,0.086877332459412357
61,0.086075125697369803
62,0.085815420368636319
63,0.086321385209836801
64,0.084644999747906444
65,0.083469327978536859
66,0.083973638089242852
67,0.083662378518825922
68,0.085244950942389902
69,0.085966036090687994
70,0.084773598854044063
71,0.087266190591898135
72,0.09133676723653647
73,0.083961038659129711
74,0.081932498643058044
75,0.080412530244488439
76,0.079981952767269632
77,0.078576272763731719
78,0.08343642078457332
79,0.079262353422950474
80,0.078818835091809175
81,0.078455494226706141
82,0.076921850092959529
83,0.076921850092959529
84,0.075841361682191438
85,0.074812425669807753
86,0.074234662095409382
87,0.073707739304619879
88,0.074224663740424746
89,0.073458210137951813
90,0.073293074187142926
91,0.071848437949424138
92,0.074161819318376634
93,0.071778536451565872
94,0.071177155093439526
95,0.070517278470086431
96,0.070771953071439866
97,0.070789784502015465
98,0.06919019475505421
99,0.067896283763008186
100,0.067521175514189041
101,0.066786621109488201
102,0.073247358219852954
103,0.10178360525334228
104,0.075198092451801854
105,0.067221565753165027
106,0.065394312723369735
107,0.071771547977812405
108,0.068155804435933776
109,0.064930516255266787
110,0.063335707202059083
111,0.062225009436274403
112,0.061242479464141936
113,0.062626968680097789
114,0.063217264358390632
115,0.063217264358390632
116,0.060978901424240416
117,0.059592324179203141
118,0.059519474800179641
119,0.06565944301476398
120,0.062357015497571798
121,0.058800772486245823
122,0.060084287293344578
123,0.061040783536176944
124,0.057295256378602326
125,0.055628780678784337
126,0.05557845478671699
127,0.054721538966839782
128,0.054186789599380364
129,0.059500334055979223
130,0.061996359520940826
131,0.054214502866859089
132,0.053066245799604769
133,0.052010035520137582
134,0.051569783239493551
135,0.051634281567468659
136,0.051007950572321742
137,0.049314667255304437
138,0.049305709607952095
139,0.050306123167743806
140,0.052593975626570519
141,0.049418855050298485
142,0.047426821777399965
143,0.046930931790748892
144,0.046582248996342467
145,0.045606698911829377
146,0.044878039061222216
147,0.044805959685866877
148,0.044641032887451422
149,0.044825467476077137
150,0.044825467476077137
151,0.04342480032285527
152,0.042837134474802224
153,0.042301636196429383
154,0.043325743044122837
155,0.042734922672041424
156,0.043662676669748608
157,0.041602316088043816
158,0.040684525138835026
