"Data Set 1:Time(s)","Data Set 1:Absorbance"
0,-0.00092339334025224316
1,-0.0017437415485291948
2,-0.001807564397672253
3,-0.0017158078834827487
4,-0.0016320479882229104
5,-0.0011773203881116246
6,-0.0018489676602025718
7,-0.0013140233966457396
8,-0.001173587616192077
9,-0.0016922944128630786
10,-0.00076259692698504486
11,-0.00090481731099257461
12,-0.00074924413674969754
13,0.0039099650008836452
14,-0.0005139017301675282
15,-0.00023742840992045563
16,-0.001043877822485791
17,-0.00078425302339006164
18,-0.00090826008213083689
19,-0.0010215217996031238
20,-0.00039807426657993971
21,5.44674355303106e-05
22,-0.00027778279705231355
23,-0.0010269814445364714
24,0.0033081007896008873
25,0.016519966451264152
26,0.038841674190461008
27,0.064692311930987817
28,0.078006073086544087
29,0.097532686625863452
30,0.11941513035271462
31,0.14060353461307487
32,0.16147909085660889
33,0.16147909085660889
34,0.17549873069955482
35,0.19193617298887358
36,0.19599595277718374
37,0.19890482880981544
38,0.20063891337849063
39,0.20093458962285285
40,0.20122022522695054
41,0.20134290320854678
42,0.20132999252566192
43,0.20007325897305306
44,0.19937214022723679
45,0.19883604237918437
46,0.19796916983787285
47,0.19766178189033509
48,0.19701615572778372
49,0.19661244170748757
50,0.19456017540363882
51,0.19400466136363381
52,0.19195957995905483
53,0.19104559739837026
54,0.1897037553735709
55,0.18839030415250299
56,0.18731841142458722
57,0.18614159554458604
58,0.18456079401033545
59,0.18278497588742029
60,0.18171308967309266
61,0.18158075609965532
62,0.18356819350292308
63,0.18007146804782065
64,0.17636389191966215
65,0.17472637307453365
66,0.1736215761973674
67,0.17237317458364199
68,0.17059630063411588
69,0.16906529973702936
70,0.16837419376658194
71,0.1676529210983288
72,0.16577358651554389
73,0.16499658778390552
74,0.16457233258194998
75,0.16738789348625124
76,0.16086727481927329
77,0.15946489793402127
78,0.15946489793402127
79,0.15858647883307425
80,0.15682445798615358
81,0.15447236254835747
82,0.15260597501656561
83,0.15130222024164805
84,0.15031417172652015
85,0.14868771812616291
86,0.14739776462140206
87,0.14651561392672388
88,0.14377263908028526
89,0.14256935959689881
90,0.1416845219719286
91,0.15493556443640125
92,0.16264429693918986
93,0.14887568587227978
94,0.13892654837254395
95,0.13609298615752205
96,0.132585975057564
97,0.13171361527798833
98,0.12993435297577421
99,0.12905390586362461
100,0.13160755735390037
101,0.13704435342350377
102,0.12751573735631155
103,0.12475777409161369
104,0.12235431897331747
105,0.12081238614211594
106,0.1181225893904954
107,0.11835630880786158
108,0.11663367669122814
109,0.11562316834541561
110,0.1139292743379646
111,0.11544998047601755
112,0.11301439056463908
113,0.11043501757229049
114,0.10974159840598909
115,0.10691277845309934
116,0.10633391519038031
117,0.10712764302992459
118,0.10345808786323198
119,0.10198531434261129
120,0.10100965732062088
121,0.10100965732062088
122,0.098457879801785178
123,0.09660908597903678
124,0.09550496587581013
125,0.094007957337693696
126,0.091946565661407381
127,0.091347581372611272
128,0.089609035754047106
129,0.089358868967394048
130,0.087362148002988665
131,0.085713918713539769
132,0.084213262639338093
133,0.084596877554807409
134,0.083928229957672032
135,0.082347580236799459
136,0.084718106973099061
137,0.079611981124816281
138,0.077373951170004368
139,0.075804264293576409
140,0.073260767699701787
141,0.07200168459997637
142,0.0713538882490138
143,0.069495888157701413
144,0.068153419051529107
145,0.06676332424552632
146,0.065560814524700806
147,0.064675379153387488
148,0.063589475640293935
