"Data Set 1:Time(s)","Data Set 1:Absorbance"
0,-0.0034632350407637347
1,-0.0043866101978230409
2,-0.0024144789303462309
3,-0.00098277167018587805
4,-0.0030301937477703158
5,-0.0045973525047943537
6,-0.001783930963338154
7,-0.00036690647307254426
8,-0.0020019904885962762
9,-0.0017923287693402123
10,-0.0031682350663014467
11,0.0043176052052566732
12,0.00042644742027097372
13,-0.003085864349360238
14,-0.0032988333867137952
15,0.0055362028561840582
16,4.313872467585078e-05
17,-0.0031464527335769432
18,-0.004666724641866112
19,-0.0039896799669383457
20,-0.0048543753650861872
21,-0.0041096100575472271
22,-0.0044847841873985493
23,-0.00013189316307566184
24,-0.0033520098989555732
25,-0.0039333683901805767
26,-0.0036695279170067727
27,-0.0013255656935076429
28,-0.0024500395870505304
29,-0.0031850021100213806
30,-0.0018797936500451584
31,0.0064411140250913469
32,0.025437147627555255
33,0.058106946757501513
34,0.097611096843289363
35,0.12761892892811419
36,0.14829294906360543
37,0.15387584413650104
38,0.15387584413650104
39,0.15878234041223233
40,0.1606878535506881
41,0.16787154919673669
42,0.16558427751986557
43,0.16655609851840036
44,0.16451969284762316
45,0.16571857049768096
46,0.16909114200982628
47,0.16825754356538342
48,0.16435661479423863
49,0.16629588441704138
50,0.16474933254775995
51,0.16328602369553247
52,0.16808892336992035
53,0.16649126273146944
54,0.16432746473210649
55,0.16261960911552442
56,0.16199455766590401
57,0.1596045883294458
58,0.1627499119063569
59,0.16417904389374302
60,0.1629783159295026
61,0.16052214637795681
62,0.15962109973083988
63,0.1565690118188236
64,0.15545771239318343
65,0.15492081441590913
66,0.15181560926792514
67,0.15186483149743329
68,0.15058163339797517
69,0.14967019052405647
70,0.14982957014944381
71,0.14827432264576268
72,0.15011879333377512
73,0.14695359402916133
74,0.14570503699426959
75,0.14366712713575461
76,0.143178468968888
77,0.14042639644732061
78,0.14012485924744747
79,0.13953272690002827
80,0.14169428426084715
81,0.14044201237896684
82,0.13767763048426029
83,0.13530023389671494
84,0.14182602633618641
85,0.13727690458284444
86,0.13343422839279354
87,0.13343422839279354
88,0.13230866545934156
89,0.13174234001409846
90,0.13098617167442997
91,0.13060648705703704
92,0.12839327478214183
93,0.1294458812894683
94,0.15947189534152259
95,0.13764374292955175
96,0.1347631269158687
97,0.12413345109783559
98,0.12300775236659188
99,0.12229653850894831
100,0.1215393819371435
101,0.12051885649334894
102,0.11954385161263084
103,0.11779523790601279
104,0.11738340156059739
105,0.11690177595295634
106,0.11913067492683965
107,0.11918999537626
108,0.11531603030581962
109,0.11372224738271797
110,0.11182459369268916
111,0.11167653179076997
112,0.11332844474793842
113,0.10992625587239409
114,0.10894341768428602
115,0.1083295451931864
116,0.10661715997973964
117,0.10602177489172006
118,0.10880637602086751
119,0.1053361138974631
120,0.10607267643351663
121,0.10554826892885917
122,0.10176309571321784
123,0.10262260126564463
124,0.099511103137829196
125,0.098737766658876597
126,0.09814790300574279
127,0.096221415699869903
128,0.096176870515997326
129,0.096389200481963963
130,0.094085367664816108
131,0.093861953131733719
132,0.094887418524807726
133,0.092052896945696586
134,0.093489324049574871
135,0.092525280379180092
136,0.089465386753240519
137,0.089134224671925388
138,0.08745467491044305
139,0.08745467491044305
140,0.086801309505628158
141,0.085775506326066314
142,0.084959372092550833
143,0.085863844383936752
144,0.088121169443616559
145,0.083266605289929824
146,0.081570364698307501
147,0.08170921243263525
148,0.084374251112559903
149,0.078953887367024744
150,0.077134333136254438
151,0.07848512614445112
152,0.076602600381368693
153,0.077171388846344363
154,0.076388006477421971
155,0.073866958450520659
156,0.07191397848614306
157,0.071055623386144032
158,0.071517832058850483
159,0.074404383221156722
160,0.072232128442689322
161,0.069371318741141413
162,0.068015534269824832
163,0.066428908332162306
164,0.066075785402763848
165,0.064864842770043396
166,0.063508478459306614
167,0.063939895957501755
168,0.062218157522918711
169,0.06010408734194949
170,0.060558622893280491
171,0.059078824183974525
172,0.059396109700798908
173,0.056935388457415019
174,0.055967036390409348
175,0.054903137104260681
176,0.054445965739164638
177,0.052983110247560285
178,0.053068939958466656
179,0.051942348973675383
180,0.055556474851464442
181,0.057000487703270965
182,0.051075039965211878
183,0.048466412824637484
184,0.047904421541372054
185,0.046919622893826896
186,0.045999389070598438
187,0.048372911728544549
188,0.046141256614267052
189,0.043504286128230298
190,0.042482467608884557
191,0.041489072093893631
192,0.041100826568486078
193,0.039416183995954812
194,0.039416183995954812
